Beach_Name,Nearest_Town,County,Lake,Latitude,Longitude,EPA_Bch_ID,Num_Samp_2016,Num_ADays_2016,Num_Exc_2016,Num_Close_2016,Perc_Exc_2016,Perc_Close_2016,Num_Samp_2017,Num_ADays_2017,Num_Exc_2017,Num_Close_2017,Perc_Exc_2017,Perc_Close_2017,Num_Samp_2018,Num_ADays_2018,Num_Exc_2018,Num_Close_2018,Perc_Exc_2018,Perc_Close_2018,Num_Samp_2019,Num_ADays_2019,Num_Exc_2019,Num_Close_2019,Perc_Exc_2019,Perc_Close_2019,Num_Samp_2020,Num_ADays_2020,Num_Exc_2020,Num_Close_2020,Perc_Exc_2020,Perc_Close_2020,Num_Samp_2021,Num_ADays_2021,Num_Exc_2021,Num_Close_2021,Perc_Exc_2021,Perc_Close_2021,Num_Samp_2022,Num_ADays_2022,Num_Exc_2022,Num_Close_2022,Perc_Exc_2022,Perc_Close_2022,Num_Samp_2023,Num_ADays_2023,Num_Exc_2023,Num_Close_2023,Perc_Exc_2023,Perc_Close_2023,Num_Samp_2024,Num_ADays_2024,Num_Exc_2024,Num_Close_2024,Perc_Exc_2024,Perc_Close_2024
Gislason Beach,Washington Island,Door,Lake Michigan,45.340318,-86.908849,WI218684,16,2,2,1,12.5,6.3,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,16,0,1,2,12.5,0,13,0,0,0,0,0,15,1,1,1,6.7,6.7,14,0,0,0,0,0,14,0,0,0,0,0
Haines Park,Little Sturgeon,Door,Lake Michigan,44.855007,-87.504379,WI826309,28,2,2,1,7.1,3.6,33,9,7,0,21.2,0,29,1,1,0,3.4,0,29,1,1,0,4,0,30,2,2,0,6.7,0,26,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,31,8,5,1,16.1,3.2
Jackson Harbor Ridges,Jacksonport,Door,Lake Michigan,45.397045,-86.851861,WI171560,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,1,0,1,0,100,0,12,0,0,0,0,0,15,1,1,0,6.7,0,14,0,0,0,0,0,14,0,0,0,0,0
Lily Bay Boat Launch,Sturgeon Bay,Door,Lake Michigan,44.849872,-87.262741,WI898745,15,2,2,1,13,6.7,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,15,1,1,0,6.7,0,14,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0
Newport Bay at Newport State Park,Northport,Door,Lake Michigan,45.235439,-86.986046,WI997969,54,1,1,1,1.9,1.9,56,1,1,1,1.8,1.8,56,1,1,0,1.8,0,56,0,0,0,0,0,61,1,1,1,1.6,1.6,50,1,1,1,2,2,51,0,0,0,0,0,55,2,2,2,3.6,3.6,55,2,2,0,3.6,0
Nicolet Bay at Penninsula State Park,Fish Creek,Door,Lake Michigan,45.165536,-87.223493,WI512106,55,8,8,3,14.5,5.5,58,8,7,2,12.1,3.4,59,6,6,2,10.2,3.4,59,3,3,1,5.4,1.8,61,5,5,3,8.2,4.9,55,4,2,2,3.6,3.6,54,8,6,1,11.1,1.9,54,4,4,0,7.4,0,53,3,3,1,5.7,1.9
Otumba Park,Sturgeon Bay,Door,Lake Michigan,44.830916,-87.388879,WI873897,61,15,15,6,24.6,9.8,57,6,6,0,10.5,0,56,7,7,3,12.5,5.4,56,1,1,0,1.9,0,60,1,1,0,1.7,0,57,8,8,1,14,1.8,57,31,21,15,36.8,26.3,56,11,11,3,19.6,5.4,54,25,25,8,46.3,14.8
Percy Johnson Memorial Park,Washington Island,Door,Lake Michigan,45.363519,-86.864459,WI160996,20,6,6,4,30,20,14,0,0,0,0,0,14,0,0,0,0,0,14,1,1,0,6.7,0,15,1,1,1,6.7,6.7,13,0,0,0,0,0,14,1,1,0,7.1,0,10,0,0,0,0,0,4,0,0,0,0,0
Portage Park,Sturgeon Bay,Door,Lake Michigan,44.799753,-87.30686,WI757225,27,0,0,0,0,0,28,0,0,0,0,0,29,1,1,0,3.4,0,29,0,0,0,0,0,40,0,0,0,0,0,26,0,0,0,0,0,28,0,0,0,0,0,28,1,1,0,3.6,0,28,0,0,0,0,0
Robert E LaSalle Park,Claybanks,Door,Lake Michigan,44.6906,-87.3624,WI551066,2,0,0,0,0,0,15,1,1,0,6.7,0,14,0,0,0,0,0,14,0,0,0,0,0,6,1,1,0,16.7,0,27,1,1,1,3.7,3.7,42,4,4,1,3.7,3.7,14,1,1,0,7.1,0,31,6,6,2,19.4,6.5
Sand Bay #1,Little Sturgeon,Door,Lake Michigan,44.856508,-87.498166,WI176829,30,6,6,2,20,6.7,34,11,9,3,26.5,8.8,30,3,3,0,10,0,30,0,0,0,0,0,32,5,5,2,15.6,6.3,27,0,0,0,0,0,28,1,1,0,3.6,0,27,2,2,0,7.4,0,34,8,8,4,23.5,11.8
Sand Dunes,Washington Island,Door,Lake Michigan,45.336834,-86.897966,WI247871,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,29,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,15,1,1,0,6.7,0
Sandy Bay Town Park,Rowleys Bay,Door,Lake Michigan,45.212121,-87.03994,WI282701,27,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,40,0,0,0,0,0,29,0,0,0,0,0,27,0,0,0,0,0,25,2,1,0,4,0,27,0,0,0,0,0
School House,Washington Island,Door,Lake Michigan,45.398349,-86.928092,WI584728,17,3,3,0,17.6,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,15,1,1,0,6.7,0,13,0,0,0,0,0,14,1,1,0,7.1,0,14,0,0,0,0,0,14,0,0,0,0,0
Sister Bay Park,Sister Bay,Door,Lake Michigan,45.18997,-87.121745,WI847906,54,3,3,1,5.6,1.9,57,4,4,2,7,3.5,57,2,2,0,3.5,0,57,1,1,0,2,0,61,1,1,1,1.6,1.6,52,0,0,0,0,0,52,2,2,0,3.8,0,56,7,7,2,12.5,3.6,55,2,2,0,3.6,0
Sturgeon Bay Canal Recreation Area,Sturgeon Bay,Door,Lake Michigan,44.79219,-87.314196,WI313701,31,6,6,3,19.4,9.7,29,1,1,0,3.4,0,28,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,26,0,0,0,0,0,27,0,0,0,0,0,41,1,1,0,2.4,0,42,2,2,0,4.8,0
Sunset Park Sturgeon Bay,Sturgeon Bay,Door,Lake Michigan,44.845513,-87.385885,WI500512,55,1,1,0,1.8,0,56,2,2,0,3.6,0,57,2,3,1,5.3,1.8,57,1,1,0,1.9,0,60,4,3,0,5,0,55,3,3,2,5.5,3.6,53,2,2,1,3.8,1.9,52,1,1,0,1.9,0,43,6,6,1,14,2.3
Whitefish Bay Boat Launch,Whitefish Bay,Door,Lake Michigan,44.905689,-87.216072,WI587021,13,0,0,0,0,0,17,2,2,0,11.8,0,14,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,24,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0
Whitefish Dunes State Park,Whitefish Bay,Door,Lake Michigan,44.9231,-87.19211,WI872074,55,1,1,0,1.8,0,55,0,0,0,0,0,57,1,1,0,1.8,0,57,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,0,0,42,0,0,0,0,0,52,1,1,0,1.9,0,54,0,0,0,0,0
Alford Park,Kenosha,Kenosha,Lake Michigan,42.613182,-87.819894,WI371142,26,0,0,0,0,0,27,2,2,1,7.4,3.7,27,2,1,1,3.8,3.8,26,0,0,0,0,0,29,1,1,0,3.4,0,27,1,1,0,3.7,0,29,3,3,0,10.3,0.6,29,4,2,1,6.9,3.4,26,2,0,0,0,0
Eichelman Park,Kenosha,Kenosha,Lake Michigan,42.579968,-87.813014,WI197731,41,4,4,1,9.8,2.4,43,10,9,1,20.9,2.3,43,24,18,4,35,0.3,7.8,6,6,1,14,2.3,41,7,7,1,17.1,2.4,42,3,3,2,7.1,4.8,42,2,2,0,4.8,0,43,8,6,2,14,4.7,43,9,6,2,14,4.7
